Name,ApplicableClasses
Pset_ElectricFlowStorageDeviceTypeCapacitor,IfcElectricFlowStorageDevice
Pset_ElectricFlowStorageDeviceTypeCapacitor,IfcElectricFlowStorageDeviceType
Pset_ElectricFlowStorageDeviceTypeCommon,IfcElectricFlowStorageDevice
Pset_ElectricFlowStorageDeviceTypeCommon,IfcElectricFlowStorageDeviceType
Pset_ElectricFlowStorageDeviceTypeInductor,IfcElectricFlowStorageDevice
Pset_ElectricFlowStorageDeviceTypeInductor,IfcElectricFlowStorageDeviceType
Pset_ElectricFlowStorageDeviceTypeRecharger,IfcElectricFlowStorageDevice
Pset_ElectricFlowStorageDeviceTypeRecharger,IfcElectricFlowStorageDeviceType
Pset_ElectricFlowStorageDeviceTypeUPS,IfcElectricFlowStorageDevice
Pset_ElectricFlowStorageDeviceTypeUPS,IfcElectricFlowStorageDeviceType
Pset_ElectricFlowTreatmentDeviceTypeElectronicFilter,IfcElectricFlowTreatmentDevice
Pset_ElectricFlowTreatmentDeviceTypeElectronicFilter,IfcElectricFlowTreatmentDeviceType
Pset_ElectricGeneratorTypeCommon,IfcElectricGenerator
Pset_ElectricGeneratorTypeCommon,IfcElectricGeneratorType
Pset_ElectricMotorTypeCommon,IfcElectricMotor
Pset_ElectricMotorTypeCommon,IfcElectricMotorType
Pset_ElectricTimeControlTypeCommon,IfcElectricTimeControl
Pset_ElectricTimeControlTypeCommon,IfcElectricTimeControlType
Pset_ElementAssemblyCommon,IfcElementAssembly
Pset_ElementAssemblyCommon,IfcElementAssemblyType
Pset_ElementAssemblyTypeCantilever,IfcElementAssembly
Pset_ElementAssemblyTypeCantilever,IfcElementAssemblyType
Pset_ElementAssemblyTypeDilatationPanel,IfcElementAssembly
Pset_ElementAssemblyTypeDilatationPanel,IfcElementAssemblyType
Pset_ElementAssemblyTypeHeadSpan,IfcElementAssembly
Pset_ElementAssemblyTypeHeadSpan,IfcElementAssemblyType
Pset_ElementAssemblyTypeMast,IfcElementAssembly
Pset_ElementAssemblyTypeMast,IfcElementAssemblyType
Pset_ElementAssemblyTypeOCSSuspension,IfcElementAssembly
Pset_ElementAssemblyTypeOCSSuspension,IfcElementAssemblyType
Pset_ElementAssemblyTypeRigidFrame,IfcElementAssembly_FRAME
Pset_ElementAssemblyTypeRigidFrame,IfcElementAssemblyType_FRAME
Pset_ElementAssemblyTypeSteadyDevice,IfcElementAssembly
Pset_ElementAssemblyTypeSteadyDevice,IfcElementAssemblyType
Pset_ElementAssemblyTypeSupportingAssembly,IfcElementAssembly
Pset_ElementAssemblyTypeSupportingAssembly,IfcElementAssemblyType
Pset_ElementAssemblyTypeTrackPanel,IfcElementAssembly
